Analytical Openings	OST_AnalyticalOpening
Water Loops	OST_MEPAnalyticalWaterLoop
Air Systems	OST_MEPAnalyticalAirLoop
System-Zones	OST_MEPSystemZone
Casework	OST_Casework
Shaft Openings	OST_ShaftOpening
Mechanical Equipment Sets	OST_MechanicalEquipmentSet
Analytical Pipe Connections	OST_AnalyticalPipeConnections
Terminations	OST_RailingTermination
Supports	OST_RailingSupport
Handrails	OST_RailingHandRail
Top Rails	OST_RailingTopRail
Landings	OST_StairsLandings
Runs	OST_StairsRuns
<Path of Travel Lines>	OST_PathOfTravelLines
Materials	OST_Materials
Schedules	OST_Schedules
Curtain Systems	OST_CurtaSystem
Views	OST_Views
Parts	OST_Parts
Assemblies	OST_Assemblies
Levels	OST_Levels
Multi-segmented Grid	OST_GridChains
Grids	OST_Grids
Wall Sweeps	OST_Cornices
Ramps	OST_Ramps
Curtain Wall Mullions	OST_CurtainWallMullions
Curtain Panels	OST_CurtainWallPanels
Rooms	OST_Rooms
Generic Models	OST_GenericModel
Railings	OST_StairsRailing
Supports	OST_StairsStringerCarriage
Stairs	OST_Stairs
Columns	OST_Columns
Model Groups	OST_IOSModelGroups
Furniture	OST_Furniture
Ceilings	OST_Ceilings
Roofs	OST_Roofs
Floors	OST_Floors
Doors	OST_Doors
Windows	OST_Windows
Walls	OST_Walls
